id,Nombre,Ubicacion,Descripcion,HorarioAbre,HorarioCierre,IDdepartamento,CreatedAt,UpdatedAt
1,Teleferico rojo,La Paz,Viaje panoramico por encima de la ciudad de La Paz.,"06:30:00","22:00:00",1,"2024-06-25 22:24:26","2024-06-25 22:24:26"
2,Valle de la Luna,"Mallasa, La Paz",Formaciones rocosas unicas que parecen la superficie lunar.,"10:00:00","17:00:00",1,"2024-06-25 22:24:26","2024-06-25 22:24:26"
3,Isla del Sol,Lago Titicaca,Lugar sagrado con ruinas incas y hermosas vistas del lago Titicaca.,"08:30:00","14:00:00",1,"2024-06-25 22:24:26","2024-06-25 22:24:26"
4,Complejo Arqueologico de Tiwanaku,Tiahuanaco,"Antigua ciudad arqueologica de Bolivia, centro de la civilizacion tiahuanacota.","09:00:00","17:00:00",1,"2024-06-25 22:24:26","2024-06-25 22:24:26"
5,Carnaval de Oruro,Oruro,Festival de danzas folcloricas reconocido internacionalmente.,"08:00:00","23:59:00",2,"2024-06-25 22:25:19","2024-06-25 22:25:19"
6,Mina San Jose,Oruro,Visita guiada a una mina historica con galeri�as subterraneas.,"10:30:00","15:00:00",2,"2024-06-25 22:25:19","2024-06-25 22:25:19"
7,Salar de Coipasa,Oruro,Extensa planicie salada que ofrece espectaculares paisajes.,"09:30:00","15:00:00",2,"2024-06-25 22:25:19","2024-06-25 22:25:19"
8,Museo Nacional de Etnografia y Folklore,Oruro,Coleccion de arte y objetos tradicionales de la region.,"13:00:00","18:00:00",2,"2024-06-25 22:25:19","2024-06-25 22:25:19"
9,Cerro Rico,Potosi�,Famosa montania con minas de plata historicas.,"08:00:00","18:00:00",3,"2024-06-25 22:25:27","2024-06-25 22:25:27"
10,Casa Nacional de la Moneda,Potosi�,Antigua ceca con exhibiciones sobre la historia de la moneda.,"10:00:00","17:00:00",3,"2024-06-25 22:25:27","2024-06-25 22:25:27"
11,Laguna Colorada,Reserva Nacional de Fauna Andina Eduardo Avaroa,Laguna con aguas rojizas habitada por flamencos.,"09:30:00","16:00:00",3,"2024-06-25 22:25:27","2024-06-25 22:25:27"
12,Plaza de las Banderas Uyuni,Colchani,"Filas de imponentes astas con multiples banderas, Monumento Nacional","10:30:00","18:00:00",3,"2024-06-25 22:25:27","2024-06-25 22:25:27"
13,Cristo de la Concordia,Cochabamba,Estatua de Cristo con vista panoramica de la ciudad.,"08:00:00","21:00:00",4,"2024-06-25 22:25:40","2024-06-25 22:25:40"
14,Parque Nacional Carrasco,Cochabamba,Reserva natural con diversa flora y fauna.,"10:00:00","18:00:00",4,"2024-06-25 22:25:40","2024-06-25 22:25:40"
15,Plaza 14 de Septiembre,Cochabamba,Plaza principal con arquitectura colonial y fuente central.,"06:00:00","22:00:00",4,"2024-06-25 22:25:40","2024-06-25 22:25:40"
16,Centro Historico de Sucre,Sucre,Patrimonio de la Humanidad con arquitectura colonial.,"07:00:00","22:00:00",5,"2024-06-25 22:25:45","2024-06-25 22:25:45"
17,Parque Cretacico,Sucre,Parque con huellas de dinosaurios y replicas de sauropodos.,"10:00:00","17:00:00",5,"2024-06-25 22:25:45","2024-06-25 22:25:45"
18,Museo de la Recoleta,Sucre,Convento franciscano con arte religioso y vistas panoramicas.,"09:30:00","17:00:00",5,"2024-06-25 22:25:45","2024-06-25 22:25:45"
19,Castillo de la Glorieta,Sucre,Residencia historica con jardines y vistas al valle.,"12:00:00","16:00:00",5,"2024-06-25 22:25:45","2024-06-25 22:25:45"
20,Viniedos de Tarija,Tarija,Tour por viniedos y bodegas con degustacion de vinos.,"08:00:00","18:00:00",6,"2024-06-25 22:25:49","2024-06-25 22:25:49"
21,Parque Nacional Aguarague,Tarija,Area protegida con biodiversidad y paisajes naturales.,"09:30:00","17:00:00",6,"2024-06-25 22:25:49","2024-06-25 22:25:49"
22,Casa Dorada,Tarija,Mansion historica con arquitectura colonial y jardines.,"11:00:00","17:00:00",6,"2024-06-25 22:25:49","2024-06-25 22:25:49"
23,Biocentro Guembe,Santa Cruz de la Sierra,"Parque con mariposario, laguna y senderos naturales.","08:00:00","20:00:00",7,"2024-06-25 22:25:54","2024-06-25 22:25:54"
24,Plaza 24 de Septiembre,Santa Cruz de la Sierra,Plaza principal con arquitectura colonial y cafes.,"06:00:00","22:00:00",7,"2024-06-25 22:25:54","2024-06-25 22:25:54"
25,Parque Nacional Amboro,Santa Cruz,Reserva con bosques tropicales y cascadas.,"09:30:00","18:00:00",7,"2024-06-25 22:25:54","2024-06-25 22:25:54"
26,Jardin Botanico de Santa Cruz,Santa Cruz de la Sierra,Coleccion de plantas nativas y senderos educativos.,"09:00:00","18:00:00",7,"2024-06-25 22:25:54","2024-06-25 22:25:54"
27,Pampas del Yacuma,"Rurrenabaque, Beni",Safari en la selva con avistamiento de animales y aves.,"08:00:00","20:00:00",8,"2024-06-25 22:25:58","2024-06-25 22:25:58"
28,Parque Nacional Madidi,"Rurrenabaque, Beni",Reserva con selva tropical y expediciones guiadas.,"10:00:00","17:00:00",8,"2024-06-25 22:25:58","2024-06-25 22:25:58"
