id_diafestivo,nombre,fecha
1,Anio Nuevo,01-Jan-2024
2,Reyes magos,06-Jan-2024
3,Dia Del Estado Plurinacional,22-Jan-2024
4,Fiesta de Ekeko,24-Jan-2024
5,Anio Nuevo en Tupiza,31-Jan-2024
6,Carnaval (Lunes),12-Feb-2024
7,Carnaval (Martes),13-Feb-2024
8,Miercoles de ceniza,14-Feb-2024
9,Dia Intl. de la Proteccion Civil,01-Mar-2024
10,Creacion de la ciudad de El Alto,06-Mar-2024
11,Dia Intl. de la Mujer,08-Mar-2024
12,El Pujllay,17-Mar-2024
13,Dia del Padre,19-Mar-2024
14,Equinoccio de Otonio (Hemisferio Sur),20-Mar-2024
15,Dia Mundial del Agua,22-Mar-2024
16,Dia del Mar,23-Mar-2024
17,Domingo de Ramos,24-Mar-2024
18,Jueves Santo,28-Mar-2024
19,Viernes Santo,29-Mar-2024
20,Pascua,31-Mar-2024
21,Dia Mundial de la Salud,07-Apr-2024
22,Dia de la Tierra,22-Apr-2024
23,Dia del Inventor,23-Apr-2024
24,Dia de la Secretaria,26-Apr-2024
25,Dia del Trabajo,01-May-2024
26,Dia del Periodista (Bolivia),10-May-2024
27,Dia Intl. de Internet,17-May-2024
28,Dia de la Madre,27-May-2024
29,Corpus Christi,30-May-2024
30,Dia Mundial del Maestro,06-Jun-2024
31,Dia del Excombatiente,14-Jun-2024
32,Inicio del Invierno,20-Jun-2024
33,Anio Nuevo Aymara,21-Jun-2024
34,San Juan,24-Jun-2024
35,Dia de la Paz,16-Jul-2024
36,Dia Internacional contra el Trafico de Humanos,30-Jul-2024
37,Dia del Indio,02-Aug-2024
38,Dia de la Independencia,06-Aug-2024
39,Dia de las Fuerzas Armadas de Bolivia,07-Aug-2024
40,Virgen de Urkupinia,15-Aug-2024
41,Dia de la Bandera,17-Aug-2024
42,Dia de Cochabamba,14-Sep-2024
43,Inicio de la Primavera,23-Sep-2024
44,Dia de Santa Cruz,24-Sep-2024
45,Dia del Ingeniero,05-Oct-2024
46,Dia de la Mujer Boliviana,11-Oct-2024
47,Dia del Abogado,13-Oct-2024
48,Dia de la dignidad,17-Oct-2024
49,Halloween,31-Oct-2024
50,Dia de Todos los Santos,01-Nov-2024
51,Dia de los Muertos,02-Nov-2024
52,Dia de la Inmaculada Concepcion,08-Dec-2024
53,Virgen de Cotoca,15-Dec-2024
54,Inicio del Verano,21-Dec-2024
55,Noche Buena,24-Dec-2024
56,Navidad,25-Dec-2024
57,Dia de los Inocentes,28-Dec-2024
