id,date,dia_semana,semana,mes,trimestre,anio
1,1/1/2023,Tuesday,5,1,1,2023
2,28/2/2023,Tuesday,9,2,1,2023
3,31/3/2023,Friday,13,3,1,2023
4,30/4/2023,Sunday,17,4,2,2023
5,31/5/2023,Wednesday,22,5,2,2023
6,30/6/2023,Friday,26,6,2,2023
7,31/7/2023,Monday,31,7,3,2023
8,31/8/2023,Thursday,35,8,3,2023
9,30/9/2023,Saturday,39,9,3,2023
10,31/10/2023,Tuesday,44,10,4,2023
11,30/11/2023,Thursday,48,11,4,2023
12,31/12/2023,Sunday,52,12,4,2023
13,31/1/2024,Wednesday,5,1,1,2024
14,29/2/2024,Thursday,9,2,1,2024
15,31/3/2024,Sunday,13,3,1,2024
16,30/4/2024,Tuesday,18,4,2,2024
17,31/5/2024,Friday,22,5,2,2024
18,30/6/2024,Sunday,26,6,2,2024
19,31/7/2024,Wednesday,31,7,3,2024
20,31/8/2024,Saturday,35,8,3,2024
21,30/9/2024,Monday,40,9,3,2024
22,31/10/2024,Thursday,44,10,4,2024
23,30/11/2024,Saturday,48,11,4,2024
24,31/12/2024,Tuesday,1,12,4,2024
