id,idDepartamento,mes,temperatura
1,5,1,14.5
2,1,1,14
3,4,1,20.5
4,2,1,12.5
5,3,1,11.9
6,6,1,20.5
7,7,1,26.4
8,9,1,27.4
9,8,1,27.1
10,5,2,14
11,1,2,13
12,4,2,19.8
13,2,2,12.7
14,3,2,10.5
15,6,2,20.4
16,7,2,26.2
17,9,2,27.2
18,8,2,27.2
19,5,3,14.1
20,1,3,13.8
21,4,3,19.4
22,2,3,12.7
23,3,3,11.4
24,6,3,19.5
25,7,3,27
26,9,3,27.4
27,8,3,27.3
28,5,4,14.2
29,1,4,13.8
30,4,4,19.6
31,2,4,10.3
32,3,4,10.3
33,6,4,18
34,7,4,24.4
35,9,4,27.6
36,8,4,27.4
37,5,5,13.6
38,1,5,12.1
39,4,5,16.8
40,2,5,8.3
41,3,5,9.2
42,6,5,16.5
43,7,5,21.9
44,9,5,25
45,8,5,26.5
46,5,6,11.7
47,1,6,11.6
48,4,6,14.7
49,2,6,4.3
50,3,6,7.3
51,6,6,13.9
52,7,6,22
53,9,6,23.8
54,8,6,25.3
55,5,7,13.3
56,1,7,12.7
57,4,7,16.2
58,2,7,4
59,3,7,5.3
60,6,7,14.5
61,7,7,21.9
62,9,7,25.3
63,8,7,26.8
64,5,8,14.1
65,1,8,12.3
66,4,8,17.2
67,2,8,6.3
68,3,8,6.4
69,6,8,16.7
70,7,8,25.9
71,9,8,26.4
72,8,8,28.4
73,5,9,16
74,1,9,13.9
75,4,9,20.5
76,2,9,10.6
77,3,9,11.2
78,6,9,19.9
79,7,9,27.3
80,9,9,28.9
81,8,9,29.7
82,5,10,17.5
83,1,10,15.1
84,4,10,22.7
85,2,10,13.4
86,3,10,13.6
87,6,10,21.3
88,7,10,28.8
89,9,10,29.9
90,8,10,30.3
91,5,11,17.3
92,1,11,15.5
93,4,11,22.6
94,2,11,14.1
95,3,11,13.6
96,6,11,23.3
97,7,11,29.3
98,9,11,29.8
99,8,11,29.2
100,5,12,16.8
101,1,12,14.7
102,4,12,22.3
103,2,12,14.2
104,3,12,11.6
105,6,12,22.8
106,7,12,28.9
107,9,12,28.8
108,8,12,28.4
