"IDreserva","IDusuario","IDatraccion","FechaHora","NumPersonas","IDMetodoPago","CreatedAt","UpdatedAt"
2,93,11,2024-07-21 22:27:43,5,2,2024-06-25 22:27:43,2024-06-25 22:27:43
3,92,10,2024-07-16 22:27:43,7,1,2024-06-25 22:27:43,2024-06-25 22:27:43
4,99,11,2024-07-14 22:27:43,4,3,2024-06-25 22:27:43,2024-06-25 22:27:43
5,6,25,2024-07-16 22:27:43,3,1,2024-06-25 22:27:43,2024-06-25 22:27:43
6,64,31,2024-07-22 22:27:43,7,3,2024-06-25 22:27:43,2024-06-25 22:27:43
7,30,15,2024-07-08 22:27:43,9,3,2024-06-25 22:27:43,2024-06-25 22:27:43
8,45,29,2024-06-27 22:27:43,8,3,2024-06-25 22:27:43,2024-06-25 22:27:43
9,9,11,2024-07-08 22:27:43,3,1,2024-06-25 22:27:43,2024-06-25 22:27:43
10,33,17,2024-07-12 22:27:43,5,2,2024-06-25 22:27:43,2024-06-25 22:27:43
11,96,13,2024-06-25 22:27:43,1,3,2024-06-25 22:27:43,2024-06-25 22:27:43
12,63,11,2024-07-18 22:27:43,10,1,2024-06-25 22:27:43,2024-06-25 22:27:43
13,31,29,2024-07-13 22:27:43,3,3,2024-06-25 22:27:43,2024-06-25 22:27:43
14,48,12,2024-07-07 22:27:43,10,2,2024-06-25 22:27:43,2024-06-25 22:27:43
15,25,10,2024-07-19 22:27:43,2,1,2024-06-25 22:27:43,2024-06-25 22:27:43
16,12,21,2024-07-21 22:27:43,6,3,2024-06-25 22:27:43,2024-06-25 22:27:43
17,95,1,2024-07-04 22:27:43,5,2,2024-06-25 22:27:43,2024-06-25 22:27:43
18,37,25,2024-07-17 22:27:43,6,1,2024-06-25 22:27:43,2024-06-25 22:27:43
19,90,20,2024-07-05 22:27:43,9,2,2024-06-25 22:27:43,2024-06-25 22:27:43
20,15,22,2024-07-20 22:27:43,4,1,2024-06-25 22:27:43,2024-06-25 22:27:43
21,47,2,2024-07-19 22:27:43,10,2,2024-06-25 22:27:43,2024-06-25 22:27:43
22,18,20,2024-07-10 22:27:43,8,1,2024-06-25 22:27:43,2024-06-25 22:27:43
23,55,9,2024-07-16 22:27:43,8,2,2024-06-25 22:27:43,2024-06-25 22:27:43
24,94,15,2024-07-06 22:27:43,7,1,2024-06-25 22:27:43,2024-06-25 22:27:43
25,97,8,2024-07-03 22:27:43,8,3,2024-06-25 22:27:43,2024-06-25 22:27:43
26,46,14,2024-07-16 22:27:43,4,3,2024-06-25 22:27:43,2024-06-25 22:27:43
27,64,29,2024-07-10 22:27:43,10,1,2024-06-25 22:27:43,2024-06-25 22:27:43
28,45,14,2024-07-17 22:27:43,5,3,2024-06-25 22:27:43,2024-06-25 22:27:43
29,43,10,2024-07-01 22:27:43,2,1,2024-06-25 22:27:43,2024-06-25 22:27:43
30,72,18,2024-07-10 22:27:43,1,2,2024-06-25 22:27:43,2024-06-25 22:27:43
31,97,31,2024-07-21 22:27:43,6,1,2024-06-25 22:27:43,2024-06-25 22:27:43
32,44,16,2024-06-27 22:27:43,1,3,2024-06-25 22:27:43,2024-06-25 22:27:43
33,59,3,2024-07-15 22:27:43,2,3,2024-06-25 22:27:43,2024-06-25 22:27:43
34,37,16,2024-07-07 22:27:43,6,2,2024-06-25 22:27:43,2024-06-25 22:27:43
35,26,6,2024-06-29 22:27:43,3,3,2024-06-25 22:27:43,2024-06-25 22:27:43
36,20,19,2024-07-06 22:27:43,2,2,2024-06-25 22:27:43,2024-06-25 22:27:43
37,90,4,2024-07-21 22:27:43,1,2,2024-06-25 22:27:43,2024-06-25 22:27:43
38,87,17,2024-07-23 22:27:43,3,1,2024-06-25 22:27:43,2024-06-25 22:27:43
39,71,22,2024-07-03 22:27:43,5,1,2024-06-25 22:27:43,2024-06-25 22:27:43
40,13,25,2024-07-08 22:27:43,1,3,2024-06-25 22:27:43,2024-06-25 22:27:43
41,59,24,2024-07-21 22:27:43,2,1,2024-06-25 22:27:43,2024-06-25 22:27:43
42,89,19,2024-07-01 22:27:43,3,3,2024-06-25 22:27:43,2024-06-25 22:27:43
43,54,1,2024-07-08 22:27:43,2,2,2024-06-25 22:27:43,2024-06-25 22:27:43
44,1,17,2024-07-13 22:27:43,5,2,2024-06-25 22:27:43,2024-06-25 22:27:43
45,35,2,2024-06-30 22:27:43,9,2,2024-06-25 22:27:43,2024-06-25 22:27:43
46,14,5,2024-07-01 22:27:43,8,1,2024-06-25 22:27:43,2024-06-25 22:27:43
47,70,27,2024-06-28 22:27:43,1,3,2024-06-25 22:27:43,2024-06-25 22:27:43
48,89,2,2024-07-12 22:27:43,9,1,2024-06-25 22:27:43,2024-06-25 22:27:43
49,83,13,2024-07-11 22:27:43,5,3,2024-06-25 22:27:43,2024-06-25 22:27:43
50,43,27,2024-07-20 22:27:43,9,2,2024-06-25 22:27:43,2024-06-25 22:27:43
51,83,25,2024-07-05 22:27:43,6,2,2024-06-25 22:27:43,2024-06-25 22:27:43
52,81,20,2024-07-15 22:27:43,6,3,2024-06-25 22:27:43,2024-06-25 22:27:43
53,45,23,2024-07-01 22:27:43,10,1,2024-06-25 22:27:43,2024-06-25 22:27:43
54,1,15,2024-07-03 22:27:43,1,2,2024-06-25 22:27:43,2024-06-25 22:27:43
55,52,29,2024-07-22 22:27:43,10,3,2024-06-25 22:27:43,2024-06-25 22:27:43
56,59,10,2024-07-17 22:27:43,9,1,2024-06-25 22:27:43,2024-06-25 22:27:43
57,8,30,2024-07-07 22:27:43,4,1,2024-06-25 22:27:43,2024-06-25 22:27:43
58,67,11,2024-07-16 22:27:43,6,3,2024-06-25 22:27:43,2024-06-25 22:27:43
59,95,17,2024-07-15 22:27:43,10,2,2024-06-25 22:27:43,2024-06-25 22:27:43
60,46,10,2024-06-30 22:27:43,10,1,2024-06-25 22:27:43,2024-06-25 22:27:43
61,15,5,2024-07-04 22:27:43,2,2,2024-06-25 22:27:43,2024-06-25 22:27:43
62,55,1,2024-07-08 22:27:43,2,2,2024-06-25 22:27:43,2024-06-25 22:27:43
63,64,8,2024-07-03 22:27:43,7,2,2024-06-25 22:27:43,2024-06-25 22:27:43
64,57,9,2024-07-16 22:27:43,7,1,2024-06-25 22:27:43,2024-06-25 22:27:43
65,28,19,2024-06-28 22:27:43,8,2,2024-06-25 22:27:43,2024-06-25 22:27:43
66,21,18,2024-06-28 22:27:43,10,1,2024-06-25 22:27:43,2024-06-25 22:27:43
67,47,20,2024-07-15 22:27:43,6,2,2024-06-25 22:27:43,2024-06-25 22:27:43
68,72,18,2024-07-14 22:27:43,6,3,2024-06-25 22:27:43,2024-06-25 22:27:43
69,71,29,2024-07-03 22:27:43,8,1,2024-06-25 22:27:43,2024-06-25 22:27:43
70,70,16,2024-07-05 22:27:43,4,2,2024-06-25 22:27:43,2024-06-25 22:27:43
71,84,16,2024-07-21 22:27:43,1,2,2024-06-25 22:27:43,2024-06-25 22:27:43
72,100,25,2024-07-20 22:27:43,9,3,2024-06-25 22:27:43,2024-06-25 22:27:43
73,89,23,2024-07-20 22:27:43,2,2,2024-06-25 22:27:43,2024-06-25 22:27:43
74,32,14,2024-06-30 22:27:43,7,3,2024-06-25 22:27:43,2024-06-25 22:27:43
75,52,17,2024-07-24 22:27:43,4,1,2024-06-25 22:27:43,2024-06-25 22:27:43
76,2,32,2024-07-18 22:27:43,1,3,2024-06-25 22:27:43,2024-06-25 22:27:43
77,63,30,2024-07-15 22:27:43,7,2,2024-06-25 22:27:43,2024-06-25 22:27:43
78,90,10,2024-07-17 22:27:43,10,2,2024-06-25 22:27:43,2024-06-25 22:27:43
79,43,24,2024-07-08 22:27:43,1,3,2024-06-25 22:27:43,2024-06-25 22:27:43
80,29,24,2024-07-21 22:27:43,3,2,2024-06-25 22:27:43,2024-06-25 22:27:43
81,64,25,2024-07-22 22:27:43,4,3,2024-06-25 22:27:43,2024-06-25 22:27:43
82,23,20,2024-07-06 22:27:43,1,1,2024-06-25 22:27:43,2024-06-25 22:27:43
83,77,8,2024-07-21 22:27:43,8,1,2024-06-25 22:27:43,2024-06-25 22:27:43
84,57,10,2024-07-18 22:27:43,1,1,2024-06-25 22:27:43,2024-06-25 22:27:43
85,18,19,2024-07-06 22:27:43,2,2,2024-06-25 22:27:43,2024-06-25 22:27:43
86,49,23,2024-07-24 22:27:43,9,2,2024-06-25 22:27:43,2024-06-25 22:27:43
87,72,5,2024-07-11 22:27:43,3,3,2024-06-25 22:27:43,2024-06-25 22:27:43
88,12,8,2024-07-17 22:27:43,1,3,2024-06-25 22:27:43,2024-06-25 22:27:43
89,85,8,2024-07-12 22:27:44,3,3,2024-06-25 22:27:44,2024-06-25 22:27:44
90,51,17,2024-07-24 22:27:44,5,1,2024-06-25 22:27:44,2024-06-25 22:27:44
91,93,28,2024-07-10 22:27:44,10,1,2024-06-25 22:27:44,2024-06-25 22:27:44
92,30,25,2024-06-25 22:27:44,8,3,2024-06-25 22:27:44,2024-06-25 22:27:44
93,27,8,2024-07-06 22:27:44,2,2,2024-06-25 22:27:44,2024-06-25 22:27:44
94,33,1,2024-06-26 22:27:44,2,3,2024-06-25 22:27:44,2024-06-25 22:27:44
95,7,6,2024-07-16 22:27:44,1,1,2024-06-25 22:27:44,2024-06-25 22:27:44
96,97,26,2024-06-28 22:27:44,2,1,2024-06-25 22:27:44,2024-06-25 22:27:44
97,24,7,2024-07-02 22:27:44,7,2,2024-06-25 22:27:44,2024-06-25 22:27:44
98,12,23,2024-06-30 22:27:44,8,2,2024-06-25 22:27:44,2024-06-25 22:27:44
99,71,9,2024-07-03 22:27:44,6,3,2024-06-25 22:27:44,2024-06-25 22:27:44
100,32,9,2024-07-04 22:27:44,9,1,2024-06-25 22:27:44,2024-06-25 22:27:44
101,10,5,2024-07-09 22:27:44,10,1,2024-06-25 22:27:44,2024-06-25 22:27:44
102,4,23,2024-07-08 22:27:44,2,1,2024-06-25 22:27:44,2024-06-25 22:27:44
103,53,5,2024-06-27 22:27:44,10,3,2024-06-25 22:27:44,2024-06-25 22:27:44
104,61,29,2024-07-12 22:27:44,3,2,2024-06-25 22:27:44,2024-06-25 22:27:44
105,10,14,2024-07-21 22:27:44,2,3,2024-06-25 22:27:44,2024-06-25 22:27:44
106,56,26,2024-07-05 22:27:44,4,3,2024-06-25 22:27:44,2024-06-25 22:27:44
107,4,21,2024-06-29 22:27:44,9,3,2024-06-25 22:27:44,2024-06-25 22:27:44
108,58,12,2024-06-26 22:27:44,3,3,2024-06-25 22:27:44,2024-06-25 22:27:44
109,23,7,2024-07-02 22:27:44,8,3,2024-06-25 22:27:44,2024-06-25 22:27:44
110,48,18,2024-07-02 22:27:44,7,2,2024-06-25 22:27:44,2024-06-25 22:27:44
111,5,4,2024-07-04 22:27:44,4,3,2024-06-25 22:27:44,2024-06-25 22:27:44
112,65,1,2024-06-30 22:27:44,10,3,2024-06-25 22:27:44,2024-06-25 22:27:44
